Function Stack                                                                                               CPU Time:Total  CPU Time:Effective Time:Total  CPU Time:Spin Time:Total  CPU Time:Overhead Time:Total  CPU Time:Self  CPU Time:Effective Time:Self  CPU Time:Spin Time:Self  CPU Time:Overhead Time:Self  Module            Function (Full)                                                                                                                 Source File                Start Address
-----------------------------------------------------------------------------------------------------------  --------------  -----------------------------  ------------------------  ----------------------------  -------------  ----------------------------  -----------------------  ---------------------------  ----------------  ------------------------------------------------------------------------------------------------------------------------------  -------------------------  -------------
       operator()                                                                                                    0.012%                         0.012%                                                                 0.010s                        0.010s                       0s                           0s  particle_m_1.exe  operator()                                                                                                                      particle_m_1.cxx           0x402e3c     
    _M_invoke                                                                                                        0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_invoke                                                                                                                       std_function.h             0x4033d0     
     __invoke_r<void, main(int, char**)::<lambda()>&>                                                                0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_r<void, main(int, char**)::<lambda()>&>                                                                                invoke.h                   0x4033d0     
      __invoke_impl<void, main(int, char**)::<lambda()>&>                                                            0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_impl<void, main(int, char**)::<lambda()>&>                                                                             invoke.h                   0x4033d0     
       operator()                                                                                                    0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  operator()                                                                                                                      particle_m_1.cxx           0x4033d0     
        roundDouble                                                                                                  0.012%                         0.012%                                                                 0.010s                        0.010s                       0s                           0s  particle_m_1.exe  roundDouble(double)                                                                                                             cuda_lib_particle_m_1.cu   0xbb04b0     
    _M_manager                                                                                                       0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_manager                                                                                                                      std_function.h             0xab9340     
     _M_manager                                                                                                      0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_manager                                                                                                                      std_function.h             0xab9352     
      _M_destroy                                                                                                     0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_destroy                                                                                                                      std_function.h             0xab935c     
       _int_free                                                                                                     0.012%                         0.012%                                                                 0.010s                        0.010s                       0s                           0s  libc.so.6         _int_free                                                                                                                       [Unknown]                  0x98850      
    _M_manager                                                                                                       0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_manager                                                                                                                      std_function.h             0xab8ec0     
     _M_manager                                                                                                      0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_manager                                                                                                                      std_function.h             0xab8ed2     
      _M_destroy                                                                                                     0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_destroy                                                                                                                      std_function.h             0xab8edc     
       _int_free                                                                                                     0.012%                         0.012%                                                                 0.010s                        0.010s                       0s                           0s  libc.so.6         _int_free                                                                                                                       [Unknown]                  0x98850      
